PVRPTW,number of vehicles,number of customers,maximum duration of a route,maximum load of a vehicle,number of depots,number of days,,,,,,,,,
75,34.894,-20.898,21,14,311,475,1,4,0,.,1,.,2,.,3
76,45.544,51.41,3,4,92,212,1,4,0,.,1,.,2,.,3
77,-31.927,88.239,21,10,470,635,1,4,0,.,1,.,2,.,3
78,-13.58,-26.959,25,25,390,515,1,4,0,.,1,.,2,.,3
79,12.653,-48.34,5,11,253,373,1,4,0,.,1,.,2,.,3
80,-46.179,-38.269,11,16,304,411,1,4,0,.,1,.,2,.,3
81,-29.62,35.083,10,25,269,438,1,4,0,.,1,.,2,.,3
82,13.696,43.988,5,20,204,370,1,4,0,.,1,.,2,.,3
83,38.342,-46.338,3,3,456,571,1,4,0,.,1,.,2,.,3
84,-26.227,24.506,13,7,182,273,1,4,0,.,1,.,2,.,3
85,90.009,-43.64,19,2,293,412,1,4,0,.,1,.,2,.,3
86,-6.995,22.522,13,6,170,317,1,4,0,.,1,.,2,.,3
87,-29.993,-28.851,8,14,183,276,1,4,0,.,1,.,2,.,3
88,-56.268,-64.74,13,14,251,400,1,4,0,.,1,.,2,.,3
89,-87.415,90.796,15,2,325,460,1,4,0,.,1,.,2,.,3
90,-5.762,54.034,10,15,315,416,1,4,0,.,1,.,2,.,3
91,-34.845,-27.185,4,22,310,441,1,4,0,.,1,.,2,.,3
92,-16.479,16.18,23,4,95,266,1,4,0,.,1,.,2,.,3
93,23.712,29.492,23,22,378,526,1,4,0,.,1,.,2,.,3
94,-40.991,46.594,14,19,406,545,1,4,0,.,1,.,2,.,3
95,-53.516,-21.619,20,5,436,535,1,4,0,.,1,.,2,.,3
96,-17.56,37.494,3,10,334,461,1,4,0,.,1,.,2,.,3
97,-37.311,56.836,5,4,292,411,1,4,0,.,1,.,2,.,3
98,71.515,22.51,16,7,430,575,1,4,0,.,1,.,2,.,3
99,-41.864,27.71,21,11,141,299,1,4,0,.,1,.,2,.,3
100,14.819,-82.117,4,14,355,532,1,4,0,.,1,.,2,.,3
101,30.316,-55.322,2,2,135,238,1,4,0,.,1,.,2,.,3
102,-39.172,47.998,11,12,193,321,1,4,0,.,1,.,2,.,3
103,-94.415,15.192,15,12,192,322,1,4,0,.,1,.,2,.,3
104,-7.806,11.273,16,24,185,291,1,4,0,.,1,.,2,.,3
105,28.571,-49.908,3,8,115,286,1,4,0,.,1,.,2,.,3
106,-20.654,24.554,21,4,111,284,1,4,0,.,1,.,2,.,3
107,-30.963,-18.903,21,25,339,493,1,4,0,.,1,.,2,.,3
108,1.721,-20.447,25,6,214,351,1,4,0,.,1,.,2,.,3
109,-31.012,-21.106,12,9,452,553,1,4,0,.,1,.,2,.,3
110,-85.718,-28.015,21,23,282,419,1,4,0,.,1,.,2,.,3
111,58.826,-63.043,6,15,412,532,1,4,0,.,1,.,2,.,3
112,-15.753,-52.686,2,7,447,603,1,4,0,.,1,.,2,.,3
113,-71.661,51.184,24,6,350,524,1,4,0,.,1,.,2,.,3
114,-92.633,-6.598,21,5,337,456,1,4,0,.,1,.,2,.,3
115,33.508,-49.255,24,12,110,235,1,4,0,.,1,.,2,.,3
116,59.314,54.095,11,3,119,268,1,4,0,.,1,.,2,.,3
117,30.737,-28.436,12,22,280,396,1,4,0,.,1,.,2,.,3
118,-55.896,18.457,22,18,82,214,1,4,0,.,1,.,2,.,3
119,-89.96,-39.532,19,16,418,574,1,4,0,.,1,.,2,.,3
120,36.438,20.819,8,5,201,320,1,4,0,.,1,.,2,.,3
121,-53.674,-56.427,9,1,429,580,1,4,0,.,1,.,2,.,3
122,-31.866,32.538,10,8,90,190,1,4,0,.,1,.,2,.,3
123,5.658,12.756,5,20,353,511,1,4,0,.,1,.,2,.,3
124,-52.905,42.804,14,17,394,537,1,4,0,.,1,.,2,.,3
125,47.131,-45.465,7,11,358,455,1,4,0,.,1,.,2,.,3
126,30.792,9.869,5,8,131,274,1,4,0,.,1,.,2,.,3
127,-45.209,-56.293,22,15,369,520,1,4,0,.,1,.,2,.,3
128,10.919,13.306,5,16,270,449,1,4,0,.,1,.,2,.,3
129,-32.99,-34.003,1,6,287,408,1,4,0,.,1,.,2,.,3
130,-40.869,30.579,9,24,85,177,1,4,0,.,1,.,2,.,3
131,-69.348,80.408,16,10,258,352,1,4,0,.,1,.,2,.,3
132,-58.966,-29.541,14,4,356,450,1,4,0,.,1,.,2,.,3
133,-36.847,-33.71,21,10,226,318,1,4,0,.,1,.,2,.,3
134,-21.82,65.369,8,17,363,482,1,4,0,.,1,.,2,.,3
135,22.98,-41.01,7,5,359,512,1,4,0,.,1,.,2,.,3
136,-77.557,59.814,24,14,232,408,1,4,0,.,1,.,2,.,3
137,-47.205,67.725,24,16,315,442,1,4,0,.,1,.,2,.,3
138,-21.606,35.168,16,11,196,335,1,4,0,.,1,.,2,.,3
139,-55.676,-31.384,4,25,187,288,1,4,0,.,1,.,2,.,3
140,-85.229,88.788,7,4,354,500,1,4,0,.,1,.,2,.,3
141,-3.918,-63.525,13,12,270,374,1,4,0,.,1,.,2,.,3
142,-58.557,59.375,25,19,474,617,1,4,0,.,1,.,2,.,3
143,-24.542,14.935,10,6,375,476,1,4,0,.,1,.,2,.,3
144,-48.779,16.968,24,23,464,559,1,4,0,.,1,.,2,.,3
145,-18.391,1.121,0,0,0,1000,0,0,0,,,,,,
