MDVRPTW,number of vehicles,number of customers,maximum duration of a route,maximum load of a vehicle,number of depots,
220,-10.651,54.431,16,21,113,264
221,20.856,-26.465,7,17,65,184
222,19.617,17.865,21,8,362,506
223,-36.981,-92.95,18,4,169,343
224,-3.76,59.875,4,4,130,224
225,11.682,-63.336,15,16,387,497
226,4.468,-36.133,5,5,401,551
227,47.04,-41.254,24,15,263,428
228,29.938,-58.71,21,25,63,208
229,-70.569,-7.037,7,15,355,522
230,56.262,1.819,24,7,100,228
231,46.21,-53.522,22,19,159,251
232,6.366,-14.264,1,11,310,484
233,-34.54,-39.502,6,13,348,521
234,-50.537,28.357,4,24,131,224
235,-61.444,-10.901,14,4,252,405
236,-30.823,17.902,18,13,255,379
237,49.658,24.469,16,6,156,261
238,-69.775,-41.406,1,4,246,419
239,-18.939,57.69,24,12,172,333
240,-22.449,15.771,19,4,172,287
241,-7.599,37.03,19,4,239,385
242,27.435,17.554,11,25,209,380
243,45.526,-5.127,9,25,124,265
244,-33.551,-25.586,3,14,353,444
245,-4.645,53.754,1,25,214,379
246,-41.119,-13.361,10,13,60,169
247,23.01,-45.703,19,13,291,412
248,17.23,5.096,14,11,393,565
249,-6.818,-19.873,14,24,431,592
250,52.966,51.41,24,5,94,212
251,-28.662,-50.94,16,12,391,562
252,69.684,-51.52,6,4,309,409
253,36.884,-17.371,9,5,354,527
254,-19.659,42.035,20,24,183,337
255,72.125,65.405,21,17,237,398
256,-71.368,59.863,8,4,137,243
257,18.317,-37.75,11,1,451,614
258,18.121,0.482,13,19,74,212
259,-1.105,-30.676,24,7,446,589
260,-44.574,-44.055,15,24,107,263
261,-28.058,-59.436,6,10,472,641
262,-7.953,4.639,24,13,276,368
263,-37.366,-28.528,3,24,373,465
264,4.388,-38.489,16,3,139,303
265,-44.592,-35.333,24,14,397,567
266,-56.714,-39.252,19,2,163,337
267,13.452,-32.159,5,24,398,562
268,-20.343,-11.182,11,11,333,447
269,3.436,-52.734,19,5,281,406
270,40.576,-54.492,22,14,433,592
271,31.952,-25.421,23,21,176,327
272,-57.434,38.525,12,14,354,519
273,47.51,-42.035,23,15,262,435
274,-28.143,-41.614,25,3,263,432
275,-2.258,-5.078,3,15,394,565
276,-27.167,-27.936,25,15,241,357
277,-24.048,-47.192,1,21,300,413
278,-77.521,-55.084,16,17,83,217
279,-62.036,-43.439,21,18,78,168
280,-71.936,-20.16,11,15,107,228
281,-66.504,-39.789,6,19,82,203
282,14.587,48.444,14,9,312,453
283,31.366,-29.462,23,10,350,457
284,6.512,-46.124,9,13,423,554
285,9.65,39.508,8,25,336,452
286,16.04,16.681,19,1,244,383
287,7.745,-75.378,17,11,363,514
288,-27.173,-4.462,15,25,353,489
289,-40.198,-12.781,0,0,0,1000
290,-40.488,-35.864,0,0,0,1000
291,-1.193,2.515,0,0,0,1000
292,18.329,-35.468,0,0,0,1000
293,23.746,-0.522,0,0,0,1000
294,-46.396,-39.923,0,0,0,1000
