PVRPTW,number of vehicles,number of customers,maximum duration of a route,maximum load of a vehicle,number of depots,number of days,,,,,,,,,
56,28.802,-8.582,2,18,196,363,2,2,0,2,.,1,3,,
57,2.716,90.594,5,17,127,244,2,2,0,2,.,1,3,,
58,-31.024,48.938,3,18,394,490,2,2,0,2,.,1,3,,
59,-46.545,42.316,11,2,412,589,2,2,0,2,.,1,3,,
60,27.289,58.179,2,25,444,584,2,2,0,2,.,1,3,,
61,28.815,-28.027,7,21,346,514,2,2,0,2,.,1,3,,
62,-26.099,11.328,20,19,326,428,2,2,0,2,.,1,3,,
63,0.537,-26.221,7,10,106,280,2,2,0,2,.,1,3,,
64,-50.458,7.812,11,2,453,546,2,2,0,2,.,1,3,,
65,30.005,19.092,24,21,478,589,2,2,0,2,.,1,3,,
66,-12.604,22.058,15,20,324,430,2,2,0,2,.,1,3,,
67,22.009,-8.636,5,21,465,615,2,2,0,2,.,1,3,,
68,8.942,2.875,25,2,476,613,2,2,0,2,.,1,3,,
69,-19.812,0.922,12,6,139,247,2,2,0,2,.,1,3,,
70,-4.23,31.25,22,2,444,538,2,2,0,2,.,1,3,,
71,17.975,-0.409,11,12,65,237,2,2,0,2,.,1,3,,
72,-2.35,42.938,16,12,317,479,2,2,0,2,.,1,3,,
73,-16.516,68.085,10,5,167,344,2,2,0,2,.,1,3,,
74,-1.19,42.023,3,5,260,397,2,2,0,2,.,1,3,,
75,56.635,-44.019,10,8,289,460,2,2,0,2,.,1,3,,
76,57.483,35.504,17,15,144,256,2,2,0,2,.,1,3,,
77,-26.099,7.477,2,8,270,383,2,2,0,2,.,1,3,,
78,7.489,-57.239,21,7,377,501,2,2,0,2,.,1,3,,
79,-22.095,55.78,16,14,112,285,2,2,0,2,.,1,3,,
80,19.867,38.824,6,18,185,343,2,2,0,2,.,1,3,,
81,5.31,49.219,12,17,176,297,2,2,0,2,.,1,3,,
82,15.155,6.299,23,5,324,429,2,2,0,2,.,1,3,,
83,5.481,-31.5,23,6,273,435,2,2,0,2,.,1,3,,
84,7.959,-28.662,18,9,172,315,2,2,0,2,.,1,3,,
85,-75.812,4.01,18,24,123,302,2,2,0,2,.,1,3,,
86,-43.671,-61.646,14,13,381,475,2,2,0,2,.,1,3,,
87,-2.576,-62.14,2,5,477,586,2,2,0,2,.,1,3,,
88,-18.842,-36.884,11,4,196,287,2,2,0,2,.,1,3,,
89,20.844,21.167,24,22,222,327,2,2,0,2,.,1,3,,
90,3.137,-19.22,14,24,207,330,2,2,0,2,.,1,3,,
91,-20.361,18.878,3,25,104,275,2,2,0,2,.,1,3,,
92,-0.897,-54.938,21,9,468,638,2,2,0,2,.,1,3,,
93,-29.553,9.277,8,8,417,574,2,2,0,2,.,1,3,,
94,5.048,-35.046,19,8,146,251,2,2,0,2,.,1,3,,
95,27.759,48.712,7,25,345,508,2,2,0,2,.,1,3,,
96,12.079,-42.346,19,7,386,483,2,2,0,2,.,1,3,,
97,-51.27,41.144,23,24,173,265,1,4,0,.,1,.,2,.,3
98,-29.077,4.291,8,16,167,305,1,4,0,.,1,.,2,.,3
99,-18.555,-14.819,18,15,188,279,1,4,0,.,1,.,2,.,3
100,7.855,-49.451,7,7,289,449,1,4,0,.,1,.,2,.,3
101,-19.116,-32.086,1,17,423,522,1,4,0,.,1,.,2,.,3
102,17.651,-52.271,9,9,222,391,1,4,0,.,1,.,2,.,3
103,16.907,-62.964,5,14,121,258,1,4,0,.,1,.,2,.,3
104,18.988,6.219,23,20,425,578,1,4,0,.,1,.,2,.,3
105,-68.878,-64.539,18,6,212,318,1,4,0,.,1,.,2,.,3
106,-13.361,20.264,5,17,345,438,1,4,0,.,1,.,2,.,3
107,-44.44,63.721,17,23,124,222,1,4,0,.,1,.,2,.,3
108,-6.5,71.436,9,14,75,176,1,4,0,.,1,.,2,.,3
109,-51.978,25.409,19,19,221,378,1,4,0,.,1,.,2,.,3
110,-0.739,59.491,20,21,68,181,1,4,0,.,1,.,2,.,3
111,-64.679,83.038,1,6,322,476,1,4,0,.,1,.,2,.,3
112,-11.273,-35.944,18,1,197,359,1,4,0,.,1,.,2,.,3
113,-16.864,7.776,15,22,147,282,1,4,0,.,1,.,2,.,3
114,19.843,-49.805,10,7,88,187,1,4,0,.,1,.,2,.,3
115,-16.284,-2.936,8,14,128,230,1,4,0,.,1,.,2,.,3
116,8.356,67.041,14,7,347,512,1,4,0,.,1,.,2,.,3
117,30.878,24.316,15,25,439,563,1,4,0,.,1,.,2,.,3
118,93.524,-20.233,17,17,318,423,1,4,0,.,1,.,2,.,3
119,-9.332,-56.177,9,10,477,585,1,4,0,.,1,.,2,.,3
120,-34.442,-63.312,13,23,375,490,1,4,0,.,1,.,2,.,3
121,20.941,-5.646,18,22,414,526,1,4,0,.,1,.,2,.,3
122,-3.418,89.594,20,3,196,349,1,4,0,.,1,.,2,.,3
123,-18.738,45.227,8,14,342,435,1,4,0,.,1,.,2,.,3
124,2.435,-30.524,2,14,184,345,1,4,0,.,1,.,2,.,3
125,-28.864,56.616,7,2,308,451,1,4,0,.,1,.,2,.,3
126,76.88,-29.901,6,2,409,510,1,4,0,.,1,.,2,.,3
127,-90.466,10.278,12,21,123,228,1,4,0,.,1,.,2,.,3
128,-35.101,46.545,12,10,479,655,1,4,0,.,1,.,2,.,3
129,-48.395,43.854,25,10,131,222,1,4,0,.,1,.,2,.,3
130,-40.997,26.703,6,5,152,277,1,4,0,.,1,.,2,.,3
131,13.696,34.607,5,9,158,291,1,4,0,.,1,.,2,.,3
132,-71.472,11.45,20,15,322,474,1,4,0,.,1,.,2,.,3
133,-36.23,51.904,2,19,345,496,1,4,0,.,1,.,2,.,3
134,-39.465,4.907,25,7,429,539,1,4,0,.,1,.,2,.,3
135,-16.565,23.773,7,11,226,318,1,4,0,.,1,.,2,.,3
136,10.754,-28.552,6,2,296,421,1,4,0,.,1,.,2,.,3
137,-23.029,47.015,21,25,197,338,1,4,0,.,1,.,2,.,3
138,-8.807,21.216,19,14,369,480,1,4,0,.,1,.,2,.,3
139,-40.039,27.435,22,15,473,633,1,4,0,.,1,.,2,.,3
140,-37.445,-41.04,8,12,372,548,1,4,0,.,1,.,2,.,3
141,48.224,0.085,19,11,401,545,1,4,0,.,1,.,2,.,3
142,-0.323,68.237,6,17,424,599,1,4,0,.,1,.,2,.,3
143,-14.294,-33.423,24,4,393,504,1,4,0,.,1,.,2,.,3
144,-1.44,-34.814,15,24,453,614,1,4,0,.,1,.,2,.,3
145,-34.454,42.346,25,8,92,249,1,4,0,.,1,.,2,.,3
146,8.679,-66.18,6,20,254,402,1,4,0,.,1,.,2,.,3
147,-61.249,-51.367,21,12,66,230,1,4,0,.,1,.,2,.,3
148,-1.093,9.912,4,10,233,372,1,4,0,.,1,.,2,.,3
149,-16.565,66.547,10,12,249,411,1,4,0,.,1,.,2,.,3
150,8.435,52.838,16,9,144,243,1,4,0,.,1,.,2,.,3
151,-22.034,-36.896,12,16,295,409,1,4,0,.,1,.,2,.,3
152,15.765,17.322,13,23,478,647,1,4,0,.,1,.,2,.,3
153,9.003,-18.695,2,15,128,246,1,4,0,.,1,.,2,.,3
154,-4.584,3.491,3,10,463,576,1,4,0,.,1,.,2,.,3
155,8.875,40.662,10,21,379,545,1,4,0,.,1,.,2,.,3
156,26.093,-33.966,18,2,257,429,1,4,0,.,1,.,2,.,3
157,-32.501,39.526,18,16,154,252,1,4,0,.,1,.,2,.,3
158,-32.629,-82.581,11,15,456,603,1,4,0,.,1,.,2,.,3
159,-98.486,22.021,7,11,242,370,1,4,0,.,1,.,2,.,3
160,-59.052,4.163,18,11,217,375,1,4,0,.,1,.,2,.,3
161,7.428,-2.57,15,17,353,519,1,4,0,.,1,.,2,.,3
162,-59.601,12.469,5,3,118,281,1,4,0,.,1,.,2,.,3
163,-11.224,-31.83,20,9,207,334,1,4,0,.,1,.,2,.,3
164,-16.809,-35.04,9,1,137,298,1,4,0,.,1,.,2,.,3
165,21.863,18.14,22,13,195,332,1,4,0,.,1,.,2,.,3
166,45.038,-61.316,13,1,142,283,1,4,0,.,1,.,2,.,3
167,-48.816,25.568,24,2,78,230,1,4,0,.,1,.,2,.,3
168,-32.184,-16.736,4,22,411,574,1,4,0,.,1,.,2,.,3
169,12.439,-41.492,16,10,284,430,1,4,0,.,1,.,2,.,3
170,-21.082,-77.075,16,4,327,422,1,4,0,.,1,.,2,.,3
171,-17.822,-18.518,14,9,64,173,1,4,0,.,1,.,2,.,3
172,48.334,93.518,14,11,335,439,1,4,0,.,1,.,2,.,3
173,-18.677,49.005,25,3,418,535,1,4,0,.,1,.,2,.,3
174,12.14,30.042,23,19,259,422,1,4,0,.,1,.,2,.,3
175,3.113,-40.302,23,19,183,334,1,4,0,.,1,.,2,.,3
176,17.133,37.079,4,4,331,471,1,4,0,.,1,.,2,.,3
177,22.577,0.836,17,19,329,460,1,4,0,.,1,.,2,.,3
178,-30.426,52.942,12,15,138,281,1,4,0,.,1,.,2,.,3
179,33.765,-67.108,11,21,236,414,1,4,0,.,1,.,2,.,3
180,5.414,1.532,24,25,130,223,1,4,0,.,1,.,2,.,3
181,72.156,30.103,22,4,159,302,1,4,0,.,1,.,2,.,3
182,-24.109,-34.625,10,3,91,190,1,4,0,.,1,.,2,.,3
183,17.413,75.146,10,6,368,501,1,4,0,.,1,.,2,.,3
184,10.638,-60.052,10,6,462,597,1,4,0,.,1,.,2,.,3
185,-5.176,-48.999,5,21,259,404,1,4,0,.,1,.,2,.,3
186,-19.342,21.118,13,25,479,633,1,4,0,.,1,.,2,.,3
187,-46.802,-14.661,18,10,99,218,1,4,0,.,1,.,2,.,3
188,-16.779,43.439,25,25,302,429,1,4,0,.,1,.,2,.,3
189,14.093,-13.605,12,19,298,429,1,4,0,.,1,.,2,.,3
190,-21.063,26.019,18,19,255,419,1,4,0,.,1,.,2,.,3
191,39.813,-40.668,9,22,455,588,1,4,0,.,1,.,2,.,3
192,52.057,30.334,23,5,134,231,1,4,0,.,1,.,2,.,3
193,-12.284,9.158,0,0,0,1000,0,0,0,,,,,,
