MDVRPTW,number of vehicles,number of customers,maximum duration of a route,maximum load of a vehicle,number of depots,
54,-0.372,-27.264,10,1,144,253
55,31.537,-8.722,24,15,154,325
56,-0.134,-20.264,16,5,244,419
57,66.394,-26.691,7,9,159,273
58,6.104,-64.093,14,8,130,263
59,13.544,-20.874,11,2,334,434
60,54.211,-6.537,15,10,420,514
61,22.046,-34.137,23,25,392,544
62,-9.723,4.706,5,24,151,316
63,-11.584,-46.857,16,7,117,240
64,-2.905,-0.305,13,14,131,298
65,13.837,-44.452,18,3,64,237
66,17.48,27.747,14,23,119,209
67,2.972,-43.689,3,21,109,268
68,-44.354,-38.202,22,13,340,441
69,-59.399,1.514,16,15,356,476
70,-13.452,-75.531,16,14,391,556
71,-5.518,-51.947,2,7,295,430
72,-9.589,-26.88,19,20,139,232
73,19.318,29.498,23,6,277,412
74,26.245,36.743,6,24,286,465
75,43.707,-28.033,11,17,386,560
76,-52.026,-35.339,19,3,78,221
77,-8.435,-0.116,3,15,337,474
78,89.111,62.122,14,6,325,416
79,6.067,-16.132,14,21,103,206
80,27.094,-5.103,19,25,386,500
81,27.527,-15.344,3,18,288,445
82,42.511,32.056,18,1,225,379
83,25.311,12.689,24,19,252,415
84,47.778,-12.769,6,17,404,513
85,-3.143,-13.837,1,20,169,333
86,12.482,-78.101,3,1,190,368
87,-21.039,-3.43,15,13,383,516
88,-3.149,-55.432,18,25,71,220
89,53.009,84.9,5,16,469,571
90,35.638,-47.552,23,5,64,236
91,43.427,-18.439,10,18,187,292
92,6.598,-54.578,20,17,90,253
93,87.952,94.012,11,15,123,274
94,39.105,-48.743,16,13,101,229
95,-48.34,-26.477,15,15,406,535
96,72.003,-9.253,19,2,364,458
97,-37.732,3.351,4,1,347,456
98,-65.967,-36.749,14,9,420,521
99,-16.669,-35.284,23,16,339,491
100,10.742,-4.669,11,6,61,203
101,15.594,-5.817,21,18,437,603
102,21.606,-18.109,14,24,423,567
103,9.784,49.28,16,24,340,434
104,94.147,-4.492,25,9,146,270
105,10.382,-16.302,17,19,230,409
106,-1.453,-0.861,16,12,239,338
107,-6.219,25.305,13,22,467,591
108,-6.25,10.217,23,13,400,539
109,-17.444,-70.795,10,20,424,576
110,-55.09,-43.854,2,25,457,599
111,-9.442,23.724,15,1,360,529
112,8.978,35.406,14,24,165,260
113,-16.754,-0.812,22,10,312,430
114,66.852,-37.842,15,22,108,210
115,14.716,-23.724,16,14,308,479
116,33.472,20.026,12,12,299,466
117,66.394,-70.111,14,23,97,242
118,-5.664,8.881,15,14,68,225
119,-5.103,-46.729,11,23,175,292
120,-8.826,55.743,11,25,457,577
121,5.847,-3.186,4,5,202,312
122,-25.726,-37.695,23,7,100,234
123,-15.363,-24.548,13,25,368,547
124,43.793,-11.102,22,11,101,210
125,17.664,-25.604,17,18,119,246
126,-39.624,54.883,2,18,471,568
127,-24.554,-43.225,5,1,233,411
128,-26.892,-12.738,14,7,296,451
129,34.155,-38.458,1,22,133,255
130,-47.314,-29.468,13,7,146,303
131,49.365,-25.592,8,3,185,345
132,3.705,-16.449,24,18,413,526
133,22.43,-23.273,12,8,67,216
134,-37.549,-29.608,23,6,400,541
135,25.549,3.674,1,7,413,517
136,-15.216,3.284,2,20,242,359
137,-12.939,-7.495,8,10,66,184
138,-22.107,26.434,18,2,395,498
139,-17.944,7.733,14,3,382,494
140,-21.234,14.49,23,10,370,537
141,3.503,-19.708,14,5,66,161
142,32.599,-14.935,4,25,257,401
143,-5.737,-28.296,24,23,385,483
144,-6.128,-39.624,9,21,409,510
145,-2.46,12.817,15,13,62,154
146,-6.47,8.466,10,1,330,423
147,-37.891,-36.115,3,11,91,227
148,10.852,-18.75,12,6,105,249
149,50.104,8.636,6,9,309,475
150,46.844,4.712,1,17,374,491
151,19.598,-10.406,24,13,408,533
152,-38.947,52.942,3,23,409,553
153,-0.641,-21.289,4,19,225,325
154,40.906,-33.765,7,11,388,494
155,-0.574,-62.299,21,12,257,371
156,-9.778,26.794,1,18,274,371
157,34.265,-23.895,24,25,169,274
158,29.572,-24.561,5,13,126,300
159,16.376,-58.887,23,24,427,552
160,61.877,-15.167,5,5,143,311
161,40.088,-9.625,17,14,233,352
162,0.122,-4.645,24,18,233,340
163,-8.929,-43.903,23,25,236,336
164,-7.135,-57.434,3,11,325,442
165,7.55,-21.21,5,18,244,372
166,3.949,7.3,22,23,396,510
167,-15.118,92.023,9,22,447,590
168,84.821,-24.518,23,20,169,274
169,-52.325,30.682,15,11,125,288
170,7.538,13.818,15,11,380,545
171,-21.484,30.359,11,19,250,428
172,36.047,29.883,20,13,125,223
173,12.781,-40.942,10,24,209,357
174,-17.291,-10.254,24,6,165,341
175,-10.541,12.402,10,5,61,234
176,-15.845,-59.46,6,24,387,496
177,29.266,-2.222,22,7,244,388
178,-12.598,-58.929,25,13,464,597
179,-17.303,-35.297,11,25,84,215
180,57.05,-50.354,6,15,328,452
181,26.941,17.444,9,15,437,611
182,-6.195,-8.881,6,16,234,405
183,16.98,-16.321,12,5,70,180
184,83.71,-32.52,4,15,405,545
185,12.451,34.589,24,24,352,525
186,15.057,67.004,18,15,448,577
187,25.818,-5.835,3,9,289,396
188,13.666,-14.832,18,19,222,374
189,48.322,-5.164,17,15,272,428
190,13.489,19.739,23,2,239,386
191,-18.512,65.405,10,3,342,482
192,17.554,38.379,22,18,332,510
193,37.775,-16.003,5,20,412,554
194,47.968,-30.31,16,14,149,265
195,38.806,36.243,10,10,450,562
196,-16.089,-42.841,10,6,197,325
197,28.656,-1.99,9,17,74,191
198,-5.859,-1.862,5,20,271,425
199,60.516,63.416,9,3,167,311
200,63.196,-47.766,12,14,302,469
201,-15.308,-23.285,16,12,116,236
202,-2.875,0.787,8,2,447,572
203,32.056,-10.175,1,11,396,532
204,-18.634,-25.665,1,16,432,547
205,-3.632,25.433,18,18,326,417
206,10.48,22.888,22,14,410,504
207,1.819,-3.009,20,6,317,408
208,-25.275,-12.183,4,12,420,561
209,56.927,-75.507,15,21,97,213
210,13.885,-36.23,7,1,292,389
211,32.52,-29.523,25,18,143,237
212,4.803,-7.288,3,17,421,567
213,11.365,-8.344,22,15,322,482
214,17.126,-24.646,5,4,246,365
215,-33.661,-41.241,1,18,461,626
216,-32.391,-50.885,9,22,294,457
217,23.041,-14.496,16,16,189,301
218,-21.857,-39.502,23,14,430,538
219,32.013,77.332,5,25,264,394
220,13.831,-76.19,5,15,186,353
221,-8.051,-21.179,6,6,218,344
222,25.391,46.613,16,7,95,216
223,49.536,-54.639,25,21,384,550
224,63.416,-8.636,1,3,238,330
225,2.301,-5.536,25,15,221,321
226,52.423,29.895,17,24,412,538
227,9.296,-16.254,11,2,159,272
228,34.845,-96.185,24,17,218,378
229,-21.063,-41.498,10,2,133,310
230,28.448,10.242,12,25,97,225
231,16.254,-22.583,17,15,346,520
232,-36.639,-34.033,18,3,382,538
233,-27.356,-50.177,5,1,382,492
234,-53.705,11.334,16,1,224,359
235,26.276,-5.994,9,20,99,216
236,-31.519,34.589,6,19,167,257
237,-14.612,-31.506,1,2,101,207
238,-4.242,-30.865,4,9,170,330
239,-18.524,-29.486,20,4,195,328
240,-17.133,-19.397,19,16,199,373
241,34.43,-17.151,0,0,0,1000
242,0.269,-8.154,0,0,0,1000
243,3.14,13.297,0,0,0,1000
244,-3.113,-29.745,0,0,0,1000
