PVRPTW,number of vehicles,number of customers,maximum duration of a route,maximum load of a vehicle,number of depots,number of days,,,,,,,,,,,,,
103,58.087,26.379,12,3,329,489,2,3,0,3,.,1,4,.,2,5,,,
104,18.347,34.784,21,6,307,423,2,3,0,3,.,1,4,.,2,5,,,
105,-44.629,-61.975,21,11,81,174,2,3,0,3,.,1,4,.,2,5,,,
106,5.231,26.068,15,24,209,334,2,3,0,3,.,1,4,.,2,5,,,
107,-48.065,-36.755,21,16,319,430,2,3,0,3,.,1,4,.,2,5,,,
108,-3.589,-27.734,19,21,78,251,2,3,0,3,.,1,4,.,2,5,,,
109,9.808,36.896,11,25,367,509,1,6,0,.,1,.,2,.,3,.,4,.,5
110,59.46,1.233,3,10,268,399,1,6,0,.,1,.,2,.,3,.,4,.,5
111,-47.522,19.873,12,2,473,638,1,6,0,.,1,.,2,.,3,.,4,.,5
112,-48.431,-50.317,4,13,287,466,1,6,0,.,1,.,2,.,3,.,4,.,5
113,44.666,20.953,2,14,377,486,1,6,0,.,1,.,2,.,3,.,4,.,5
114,-19.226,32.77,9,19,181,312,1,6,0,.,1,.,2,.,3,.,4,.,5
115,-15.662,17.462,21,16,182,304,1,6,0,.,1,.,2,.,3,.,4,.,5
116,-91.669,77.722,17,23,191,312,1,6,0,.,1,.,2,.,3,.,4,.,5
117,-30.035,-78.284,22,13,76,223,1,6,0,.,1,.,2,.,3,.,4,.,5
118,73.663,32.941,24,24,184,296,1,6,0,.,1,.,2,.,3,.,4,.,5
119,22.4,-60.083,2,17,232,376,1,6,0,.,1,.,2,.,3,.,4,.,5
120,61.206,-13.501,25,8,478,581,1,6,0,.,1,.,2,.,3,.,4,.,5
121,22.131,-50.012,21,12,368,543,1,6,0,.,1,.,2,.,3,.,4,.,5
122,-6.317,56.665,11,6,96,227,1,6,0,.,1,.,2,.,3,.,4,.,5
123,-20.471,12.885,23,20,308,475,1,6,0,.,1,.,2,.,3,.,4,.,5
124,-61.084,-44.769,4,20,393,516,1,6,0,.,1,.,2,.,3,.,4,.,5
125,-9.576,-19.366,1,24,160,260,1,6,0,.,1,.,2,.,3,.,4,.,5
126,5.627,-88.501,15,10,403,559,1,6,0,.,1,.,2,.,3,.,4,.,5
127,-2.618,22.131,20,18,226,373,1,6,0,.,1,.,2,.,3,.,4,.,5
128,40.497,32.343,8,10,268,435,1,6,0,.,1,.,2,.,3,.,4,.,5
129,-3.296,36.774,4,15,80,171,1,6,0,.,1,.,2,.,3,.,4,.,5
130,-50.995,19.781,12,12,353,488,1,6,0,.,1,.,2,.,3,.,4,.,5
131,-70.52,-3.809,23,22,277,436,1,6,0,.,1,.,2,.,3,.,4,.,5
132,4.205,0.812,25,11,222,369,1,6,0,.,1,.,2,.,3,.,4,.,5
133,9.955,26.337,5,14,279,429,1,6,0,.,1,.,2,.,3,.,4,.,5
134,13.538,-21.313,15,9,204,376,1,6,0,.,1,.,2,.,3,.,4,.,5
135,-21.869,-18.768,2,6,245,423,1,6,0,.,1,.,2,.,3,.,4,.,5
136,-37.158,-30.768,22,23,68,218,1,6,0,.,1,.,2,.,3,.,4,.,5
137,-86.975,10.345,16,8,264,356,1,6,0,.,1,.,2,.,3,.,4,.,5
138,-47.272,-46.326,23,22,469,587,1,6,0,.,1,.,2,.,3,.,4,.,5
139,4.095,-19.354,13,7,70,228,1,6,0,.,1,.,2,.,3,.,4,.,5
140,4.205,30.292,7,15,425,600,1,6,0,.,1,.,2,.,3,.,4,.,5
141,-42.017,53.986,20,22,374,550,1,6,0,.,1,.,2,.,3,.,4,.,5
142,35.095,-10.895,25,7,274,367,1,6,0,.,1,.,2,.,3,.,4,.,5
143,61.188,-59.875,12,14,448,589,1,6,0,.,1,.,2,.,3,.,4,.,5
144,-34.674,-1.337,9,21,421,599,1,6,0,.,1,.,2,.,3,.,4,.,5
145,-12.167,-0.086,0,0,0,1000,0,0,0,,,,,,,,,,
