PVRPTW,number of vehicles,number of customers,maximum duration of a route,maximum load of a vehicle,number of depots,number of days,,,,,,,,,,,,,
51,-46.887,-3.363,14,13,257,379,2,3,0,3,.,1,4,.,2,5,,,
52,-14.972,30.621,23,20,425,534,2,3,0,3,.,1,4,.,2,5,,,
53,-17.035,49.774,8,10,99,234,2,3,0,3,.,1,4,.,2,5,,,
54,31.635,53.619,10,25,360,535,2,3,0,3,.,1,4,.,2,5,,,
55,-3.577,13.342,14,7,363,510,1,6,0,.,1,.,2,.,3,.,4,.,5
56,33.008,58.96,3,15,186,320,1,6,0,.,1,.,2,.,3,.,4,.,5
57,-92.95,63.263,25,2,253,379,1,6,0,.,1,.,2,.,3,.,4,.,5
58,-9.137,-22.931,21,23,428,565,1,6,0,.,1,.,2,.,3,.,4,.,5
59,-39.96,6.195,5,5,275,451,1,6,0,.,1,.,2,.,3,.,4,.,5
60,28.43,-19.214,2,25,414,564,1,6,0,.,1,.,2,.,3,.,4,.,5
61,-28.54,-3.485,3,9,402,511,1,6,0,.,1,.,2,.,3,.,4,.,5
62,31.415,36.859,21,2,337,486,1,6,0,.,1,.,2,.,3,.,4,.,5
63,-49.426,60.602,1,24,359,476,1,6,0,.,1,.,2,.,3,.,4,.,5
64,-72.827,-27.765,25,13,338,461,1,6,0,.,1,.,2,.,3,.,4,.,5
65,60.083,-45.905,21,20,375,476,1,6,0,.,1,.,2,.,3,.,4,.,5
66,10.87,-3.9,21,13,324,445,1,6,0,.,1,.,2,.,3,.,4,.,5
67,25.122,7.672,25,15,147,242,1,6,0,.,1,.,2,.,3,.,4,.,5
68,-46.997,-17.474,14,4,234,386,1,6,0,.,1,.,2,.,3,.,4,.,5
69,16.058,33.02,20,20,244,397,1,6,0,.,1,.,2,.,3,.,4,.,5
70,25.409,-11.7,14,8,282,453,1,6,0,.,1,.,2,.,3,.,4,.,5
71,68.323,-5.145,11,19,324,473,1,6,0,.,1,.,2,.,3,.,4,.,5
72,-13.104,62.158,25,20,465,592,1,6,0,.,1,.,2,.,3,.,4,.,5
73,10.629,9.326,0,0,0,1000,0,0,0,,,,,,,,,,
