PVRPTW,number of vehicles,number of customers,maximum duration of a route,maximum load of a vehicle,number of depots,number of days,,,,,,,,,
169,-24.158,39.197,24,14,296,599,1,4,0,.,1,.,2,.,3
170,17.908,-40.442,3,25,289,645,1,4,0,.,1,.,2,.,3
171,59.833,-3.674,22,9,61,300,1,4,0,.,1,.,2,.,3
172,-3.51,6.256,1,23,155,447,1,4,0,.,1,.,2,.,3
173,40.167,8.594,4,16,125,476,1,4,0,.,1,.,2,.,3
174,-1.691,-54.376,12,10,201,515,1,4,0,.,1,.,2,.,3
175,-36.035,-17.065,14,4,250,440,1,4,0,.,1,.,2,.,3
176,7.275,-4.144,17,25,132,391,1,4,0,.,1,.,2,.,3
177,30.219,-6.83,20,20,150,475,1,4,0,.,1,.,2,.,3
178,-26.379,-63.055,19,5,164,454,1,4,0,.,1,.,2,.,3
179,28.772,-0.031,18,19,160,385,1,4,0,.,1,.,2,.,3
180,2.625,5.072,22,2,254,567,1,4,0,.,1,.,2,.,3
181,3.595,-21.6,14,13,96,370,1,4,0,.,1,.,2,.,3
182,-64.948,-10.956,14,19,293,511,1,4,0,.,1,.,2,.,3
183,18.671,-41.01,20,2,133,395,1,4,0,.,1,.,2,.,3
184,29.291,12.799,16,16,238,494,1,4,0,.,1,.,2,.,3
185,4.529,26.654,25,2,231,557,1,4,0,.,1,.,2,.,3
186,25.36,29.718,12,6,230,517,1,4,0,.,1,.,2,.,3
187,57.349,-15.405,1,3,241,528,1,4,0,.,1,.,2,.,3
188,-11.566,-19.012,11,20,151,436,1,4,0,.,1,.,2,.,3
189,-45.441,-71.808,18,13,98,410,1,4,0,.,1,.,2,.,3
190,2.197,-3.564,8,9,120,408,1,4,0,.,1,.,2,.,3
191,-1.855,-24.475,8,5,85,358,1,4,0,.,1,.,2,.,3
192,-59.851,-48.938,1,15,169,363,1,4,0,.,1,.,2,.,3
193,70.081,-17.816,23,22,91,274,1,4,0,.,1,.,2,.,3
194,-4.932,28.754,19,18,119,414,1,4,0,.,1,.,2,.,3
195,-46.625,-23.529,18,21,239,425,1,4,0,.,1,.,2,.,3
196,-49.872,-35.339,16,16,68,330,1,4,0,.,1,.,2,.,3
197,-67.499,8.142,7,22,133,436,1,4,0,.,1,.,2,.,3
198,31.195,-18.243,13,23,101,428,1,4,0,.,1,.,2,.,3
199,-42.139,-52.704,5,1,67,287,1,4,0,.,1,.,2,.,3
200,-15.094,18.933,3,1,119,356,1,4,0,.,1,.,2,.,3
201,-78.625,-24.341,22,13,232,436,1,4,0,.,1,.,2,.,3
202,51.471,-9.607,21,14,69,330,1,4,0,.,1,.,2,.,3
203,29.987,-31.061,18,18,71,287,1,4,0,.,1,.,2,.,3
204,46.741,1.453,14,5,282,639,1,4,0,.,1,.,2,.,3
205,-52.954,31.738,19,24,297,572,1,4,0,.,1,.,2,.,3
206,10.535,-61.432,18,11,283,634,1,4,0,.,1,.,2,.,3
207,-15.948,-56.012,12,5,126,343,1,4,0,.,1,.,2,.,3
208,-7.776,-54.73,21,1,82,368,1,4,0,.,1,.,2,.,3
209,11.047,-20.905,15,21,157,448,1,4,0,.,1,.,2,.,3
210,-24.359,-23.047,8,6,170,366,1,4,0,.,1,.,2,.,3
211,2.948,-20.398,5,6,90,286,1,4,0,.,1,.,2,.,3
212,-82.654,24.323,3,5,139,411,1,4,0,.,1,.,2,.,3
213,-12.134,42.065,2,23,275,613,1,4,0,.,1,.,2,.,3
214,-98.035,-36.359,5,16,72,367,1,4,0,.,1,.,2,.,3
215,-61.102,-13.477,3,18,133,341,1,4,0,.,1,.,2,.,3
216,-39.136,6.287,12,10,64,284,1,4,0,.,1,.,2,.,3
217,41.18,7.971,4,9,265,456,1,4,0,.,1,.,2,.,3
218,4.254,19.83,23,18,95,341,1,4,0,.,1,.,2,.,3
219,-34.143,-37.915,8,22,93,347,1,4,0,.,1,.,2,.,3
220,-4.559,23.566,7,24,176,439,1,4,0,.,1,.,2,.,3
221,37.891,-1.947,10,15,268,474,1,4,0,.,1,.,2,.,3
222,78.259,15.936,18,6,120,380,1,4,0,.,1,.,2,.,3
223,-8.661,-25.11,4,12,225,433,1,4,0,.,1,.,2,.,3
224,10.071,37.164,9,19,291,619,1,4,0,.,1,.,2,.,3
225,-42.621,-46.985,19,19,132,414,1,4,0,.,1,.,2,.,3
226,92.157,-94.183,5,17,271,487,1,4,0,.,1,.,2,.,3
227,32.202,-39.844,19,22,253,609,1,4,0,.,1,.,2,.,3
228,-55.231,-15.027,7,25,180,488,1,4,0,.,1,.,2,.,3
229,-26.746,-21.49,22,11,244,594,1,4,0,.,1,.,2,.,3
230,-75.513,-0.708,2,23,141,364,1,4,0,.,1,.,2,.,3
231,34.021,12.665,7,10,61,258,1,4,0,.,1,.,2,.,3
232,-2.643,-20.831,4,17,220,517,1,4,0,.,1,.,2,.,3
233,53.369,13.77,11,6,170,368,1,4,0,.,1,.,2,.,3
234,-14.948,-40.259,12,20,167,526,1,4,0,.,1,.,2,.,3
235,67.828,5.75,2,6,125,320,1,4,0,.,1,.,2,.,3
236,-13.22,-26.031,13,4,111,469,1,4,0,.,1,.,2,.,3
237,4.169,-32.617,22,25,149,414,1,4,0,.,1,.,2,.,3
238,-26.05,-33.313,6,7,75,358,1,4,0,.,1,.,2,.,3
239,31.964,-45.703,11,11,227,408,1,4,0,.,1,.,2,.,3
240,96.82,26.208,22,14,188,544,1,4,0,.,1,.,2,.,3
241,-44.696,-37.854,9,14,152,495,1,4,0,.,1,.,2,.,3
242,33.417,11.792,21,15,188,375,1,4,0,.,1,.,2,.,3
243,-35.187,19.226,8,2,61,396,1,4,0,.,1,.,2,.,3
244,-14.233,-74.988,4,14,76,295,1,4,0,.,1,.,2,.,3
245,37.158,-0.836,19,17,115,447,1,4,0,.,1,.,2,.,3
246,-51.697,-26.447,20,24,60,248,1,4,0,.,1,.,2,.,3
247,23.535,5.896,22,10,290,554,1,4,0,.,1,.,2,.,3
248,-18.433,53.711,10,20,185,450,1,4,0,.,1,.,2,.,3
249,-11.34,-17.621,20,11,141,473,1,4,0,.,1,.,2,.,3
250,-7.812,-35.895,10,16,199,531,1,4,0,.,1,.,2,.,3
251,3.522,26.941,23,3,216,517,1,4,0,.,1,.,2,.,3
252,-46.588,-22.266,5,11,299,641,1,4,0,.,1,.,2,.,3
253,-2.997,-0.549,25,10,191,464,1,4,0,.,1,.,2,.,3
254,32.147,17.151,7,18,163,465,1,4,0,.,1,.,2,.,3
255,32.019,13.007,16,20,208,563,1,4,0,.,1,.,2,.,3
256,-6.628,29.889,15,24,298,583,1,4,0,.,1,.,2,.,3
257,77.777,-25.397,9,16,225,547,1,4,0,.,1,.,2,.,3
258,30.707,65.704,19,2,221,498,1,4,0,.,1,.,2,.,3
259,-43.811,-43.036,11,14,279,546,1,4,0,.,1,.,2,.,3
260,49.561,16.827,19,10,127,400,1,4,0,.,1,.,2,.,3
261,-28.931,-0.439,10,22,74,365,1,4,0,.,1,.,2,.,3
262,40.363,16.382,20,14,109,344,1,4,0,.,1,.,2,.,3
263,22.748,40.674,17,15,296,529,1,4,0,.,1,.,2,.,3
264,-1.471,6.567,22,7,209,551,1,4,0,.,1,.,2,.,3
265,-1.19,16.864,24,20,242,599,1,4,0,.,1,.,2,.,3
266,8.032,41.821,5,1,156,381,1,4,0,.,1,.,2,.,3
267,-44.019,-22.784,5,24,167,387,1,4,0,.,1,.,2,.,3
268,12.366,-11.353,17,22,164,499,1,4,0,.,1,.,2,.,3
269,33.276,15.881,7,23,278,522,1,4,0,.,1,.,2,.,3
270,-34.79,-15.045,25,20,212,560,1,4,0,.,1,.,2,.,3
271,-96.857,-19.391,12,15,239,577,1,4,0,.,1,.,2,.,3
272,38.434,-5.353,11,14,119,393,1,4,0,.,1,.,2,.,3
273,-25.391,0.22,6,12,234,494,1,4,0,.,1,.,2,.,3
274,0.848,-31.86,13,4,241,504,1,4,0,.,1,.,2,.,3
275,-24.023,95.691,23,15,226,439,1,4,0,.,1,.,2,.,3
276,-4.272,35.468,15,12,81,342,1,4,0,.,1,.,2,.,3
277,-6.927,1.855,13,8,182,432,1,4,0,.,1,.,2,.,3
278,-70.953,-3.217,10,2,144,347,1,4,0,.,1,.,2,.,3
279,-32.648,-16.522,24,24,263,479,1,4,0,.,1,.,2,.,3
280,42.859,-21.68,13,5,238,503,1,4,0,.,1,.,2,.,3
281,5.182,6.403,12,8,171,406,1,4,0,.,1,.,2,.,3
282,36.92,-4.987,21,21,295,548,1,4,0,.,1,.,2,.,3
283,49.591,27.783,10,5,252,499,1,4,0,.,1,.,2,.,3
284,45.038,10.785,12,16,264,603,1,4,0,.,1,.,2,.,3
285,7.69,14.056,9,8,164,377,1,4,0,.,1,.,2,.,3
286,-60.907,18.64,5,24,105,351,1,4,0,.,1,.,2,.,3
287,-64.496,8.923,18,23,142,347,1,4,0,.,1,.,2,.,3
288,37.158,-14.99,24,6,280,464,1,4,0,.,1,.,2,.,3
289,-2.676,-9.467,0,0,0,1000,0,0,0,,,,,,
