MDVRPTW,number of vehicles,number of customers,maximum duration of a route,maximum load of a vehicle,number of depots,
119,-17.322,97.26,9,23,411,501
120,22.406,26.532,25,11,95,258
121,-73.09,-13.251,6,15,377,483
122,-64.996,-4.578,16,14,85,180
123,-34.906,-43.903,11,16,474,615
124,-92.346,-4.517,9,25,90,224
125,0.647,-8.496,9,12,328,473
126,5.048,-37.323,18,9,421,564
127,-19.08,-14.178,10,20,91,227
128,-71.704,-11.45,11,22,470,579
129,-45.581,-28.717,14,13,342,461
130,-28.351,-23.914,15,24,409,535
131,-16.486,30.92,19,13,252,356
132,-83.423,-20.935,25,4,313,464
133,-12.054,-20.612,10,22,454,571
134,-7.184,-63.721,11,18,99,210
135,34.546,-8.881,11,25,478,573
136,-4.865,73.694,25,19,109,255
137,-36.005,-3.876,14,8,130,287
138,-28.4,-21.82,20,13,277,393
139,-56.281,-15.112,7,1,136,311
140,-11.017,42.151,1,1,236,372
141,-63.092,-62.573,15,5,84,209
142,29.486,79.944,2,2,388,482
143,-65.674,-0.238,7,22,335,465
144,46.13,-20.416,21,3,427,538
145,1.575,-16.364,19,2,471,629
146,40.277,-1.379,17,6,382,536
147,-15.271,42.249,23,19,101,264
148,33.215,-16.614,17,5,229,365
149,-72.388,13.074,20,25,78,187
150,-24.487,5.273,11,9,216,370
151,-6.598,-30.957,1,20,262,382
152,31.287,21.332,11,11,469,591
153,20.557,0.378,15,18,294,471
154,-67.2,-41.339,3,25,339,517
155,22.168,-40.375,21,22,359,528
156,31.165,2.222,5,25,254,367
157,74.634,30.219,11,14,413,581
158,60.699,81.116,6,21,244,348
159,-60.736,24.133,17,1,328,422
160,1.978,17.517,20,9,424,541
161,-80.566,-38.196,10,2,243,346
162,-49.927,-36.713,24,2,110,256
163,-60.449,-27.82,6,4,246,373
164,-78.748,-44.226,18,15,449,558
165,54.26,-9.259,15,11,341,431
166,-42.059,-26.636,6,15,87,218
167,-57.336,-16.718,10,15,230,362
168,-1.276,-13.33,7,16,101,209
169,-24.158,39.197,24,14,316,412
170,17.908,-40.442,3,25,157,268
171,59.833,-3.674,22,9,71,218
172,-3.51,6.256,1,23,441,593
173,40.167,8.594,4,16,223,380
174,-1.691,-54.376,12,10,149,302
175,-36.035,-17.065,14,4,292,465
176,7.275,-4.144,17,25,349,525
177,30.219,-6.83,20,20,439,568
178,-26.379,-63.055,19,5,340,462
179,28.772,-0.031,18,19,422,573
180,2.625,5.072,22,2,346,492
181,3.595,-21.6,14,13,431,574
182,-64.948,-10.956,14,19,102,270
183,18.671,-41.01,20,2,361,456
184,29.291,12.799,16,16,276,370
185,4.529,26.654,25,2,207,362
186,25.36,29.718,12,6,76,200
187,57.349,-15.405,1,3,233,360
188,-11.566,-19.012,11,20,85,222
189,-45.441,-71.808,18,13,242,352
190,2.197,-3.564,8,9,301,454
191,-1.855,-24.475,8,5,386,535
192,-59.851,-48.938,1,15,341,472
193,70.081,-17.816,23,22,301,397
194,-4.932,28.754,19,18,176,299
195,-46.625,-23.529,18,21,297,416
196,-49.872,-35.339,16,16,382,500
197,-67.499,8.142,7,22,100,228
198,31.195,-18.243,13,23,266,408
199,-42.139,-52.704,5,1,152,300
200,-15.094,18.933,3,1,416,552
201,-78.625,-24.341,22,13,124,223
202,51.471,-9.607,21,14,62,240
203,29.987,-31.061,18,18,62,189
204,46.741,1.453,14,5,403,510
205,-52.954,31.738,19,24,87,261
206,10.535,-61.432,18,11,96,220
207,-15.948,-56.012,12,5,281,443
208,-7.776,-54.73,21,1,364,525
209,11.047,-20.905,15,21,60,232
210,-24.359,-23.047,8,6,443,561
211,2.948,-20.398,5,6,314,405
212,-82.654,24.323,3,5,429,569
213,-12.134,42.065,2,23,86,208
214,-98.035,-36.359,5,16,208,335
215,-61.102,-13.477,3,18,290,450
216,-39.136,6.287,12,10,193,367
217,41.18,7.971,4,9,368,532
218,4.254,19.83,23,18,118,279
219,-34.143,-37.915,8,22,389,547
220,-4.559,23.566,7,24,340,504
221,37.891,-1.947,10,15,356,535
222,78.259,15.936,18,6,232,339
223,-8.661,-25.11,4,12,425,593
224,10.071,37.164,9,19,216,363
225,-42.621,-46.985,19,19,86,206
226,92.157,-94.183,5,17,326,421
227,32.202,-39.844,19,22,432,555
228,-55.231,-15.027,7,25,187,308
229,-26.746,-21.49,22,11,429,586
230,-75.513,-0.708,2,23,433,561
231,34.021,12.665,7,10,141,317
232,-2.643,-20.831,4,17,368,491
233,53.369,13.77,11,6,123,300
234,-14.948,-40.259,12,20,289,452
235,67.828,5.75,2,6,297,440
236,-13.22,-26.031,13,4,352,467
237,4.169,-32.617,22,25,112,290
238,-26.05,-33.313,6,7,185,347
239,31.964,-45.703,11,11,358,478
240,96.82,26.208,22,14,362,489
241,-44.696,-37.854,9,14,478,582
242,33.417,11.792,21,15,308,461
243,-35.187,19.226,8,2,122,212
244,-14.233,-74.988,4,14,446,573
245,37.158,-0.836,19,17,477,603
246,-51.697,-26.447,20,24,229,401
247,23.535,5.896,22,10,261,409
248,-18.433,53.711,10,20,270,413
249,-11.34,-17.621,20,11,399,498
250,-7.812,-35.895,10,16,238,349
251,3.522,26.941,23,3,67,245
252,-46.588,-22.266,5,11,305,406
253,-2.997,-0.549,25,10,244,419
254,32.147,17.151,7,18,310,409
255,32.019,13.007,16,20,396,547
256,-6.628,29.889,15,24,256,368
257,77.777,-25.397,9,16,217,367
258,30.707,65.704,19,2,71,213
259,-43.811,-43.036,11,14,471,605
260,49.561,16.827,19,10,147,254
261,-28.931,-0.439,10,22,137,284
262,40.363,16.382,20,14,179,301
263,22.748,40.674,17,15,305,421
264,-1.471,6.567,22,7,319,416
265,-1.19,16.864,24,20,249,362
266,8.032,41.821,5,1,87,222
267,-44.019,-22.784,5,24,332,422
268,12.366,-11.353,17,22,313,464
269,33.276,15.881,7,23,103,231
270,-34.79,-15.045,25,20,163,269
271,-96.857,-19.391,12,15,368,485
272,38.434,-5.353,11,14,443,534
273,-25.391,0.22,6,12,109,257
274,0.848,-31.86,13,4,178,287
275,-24.023,95.691,23,15,400,522
276,-4.272,35.468,15,12,159,324
277,-6.927,1.855,13,8,306,411
278,-70.953,-3.217,10,2,68,200
279,-32.648,-16.522,24,24,277,394
280,42.859,-21.68,13,5,343,438
281,5.182,6.403,12,8,131,305
282,36.92,-4.987,21,21,419,531
283,49.591,27.783,10,5,399,548
284,45.038,10.785,12,16,318,493
285,7.69,14.056,9,8,447,573
286,-60.907,18.64,5,24,176,300
287,-64.496,8.923,18,23,458,602
288,37.158,-14.99,24,6,457,570
289,2.277,7.84,0,0,0,1000
290,32.883,-1.779,0,0,0,1000
291,-49.554,-17.828,0,0,0,1000
292,3.69,-26.099,0,0,0,1000
