MDVRPTW,number of vehicles,number of customers,maximum duration of a route,maximum load of a vehicle,number of depots,
113,44.666,20.953,2,14,82,364
114,-19.226,32.77,9,19,75,434
115,-15.662,17.462,21,16,215,524
116,-91.669,77.722,17,23,286,523
117,-30.035,-78.284,22,13,265,572
118,73.663,32.941,24,24,66,271
119,22.4,-60.083,2,17,165,436
120,61.206,-13.501,25,8,263,469
121,22.131,-50.012,21,12,287,470
122,-6.317,56.665,11,6,269,456
123,-20.471,12.885,23,20,144,470
124,-61.084,-44.769,4,20,82,385
125,-9.576,-19.366,1,24,61,262
126,5.627,-88.501,15,10,117,302
127,-2.618,22.131,20,18,271,629
128,40.497,32.343,8,10,107,375
129,-3.296,36.774,4,15,141,341
130,-50.995,19.781,12,12,243,438
131,-70.52,-3.809,23,22,149,376
132,4.205,0.812,25,11,136,483
133,9.955,26.337,5,14,203,529
134,13.538,-21.313,15,9,174,425
135,-21.869,-18.768,2,6,269,514
136,-37.158,-30.768,22,23,148,448
137,-86.975,10.345,16,8,268,597
138,-47.272,-46.326,23,22,205,527
139,4.095,-19.354,13,7,163,356
140,4.205,30.292,7,15,180,376
141,-42.017,53.986,20,22,88,360
142,35.095,-10.895,25,7,238,427
143,61.188,-59.875,12,14,229,520
144,-34.674,-1.337,9,21,289,555
145,-3.799,44.29,0,0,0,1000
146,14.233,21.173,0,0,0,1000
147,-23.334,-28.397,0,0,0,1000
148,10.065,1.822,0,0,0,1000
149,-49.115,-43.549,0,0,0,1000
150,-21.054,4.144,0,0,0,1000
