MDVRPTW,number of vehicles,number of customers,maximum duration of a route,maximum load of a vehicle,number of depots,
63,0.537,-26.221,7,10,149,503
64,-50.458,7.812,11,2,154,449
65,30.005,19.092,24,21,60,344
66,-12.604,22.058,15,20,276,629
67,22.009,-8.636,5,21,164,387
68,8.942,2.875,25,2,217,462
69,-19.812,0.922,12,6,189,510
70,-4.23,31.25,22,2,249,547
71,17.975,-0.409,11,12,274,549
72,-2.35,42.938,16,12,173,424
73,-16.516,68.085,10,5,276,631
74,-1.19,42.023,3,5,120,330
75,56.635,-44.019,10,8,252,464
76,57.483,35.504,17,15,194,408
77,-26.099,7.477,2,8,155,483
78,7.489,-57.239,21,7,277,611
79,-22.095,55.78,16,14,276,536
80,19.867,38.824,6,18,281,551
81,5.31,49.219,12,17,226,545
82,15.155,6.299,23,5,249,443
83,5.481,-31.5,23,6,140,443
84,7.959,-28.662,18,9,113,465
85,-75.812,4.01,18,24,233,537
86,-43.671,-61.646,14,13,173,468
87,-2.576,-62.14,2,5,226,490
88,-18.842,-36.884,11,4,207,472
89,20.844,21.167,24,22,281,531
90,3.137,-19.22,14,24,190,408
91,-20.361,18.878,3,25,175,448
92,-0.897,-54.938,21,9,276,560
93,-29.553,9.277,8,8,271,457
94,5.048,-35.046,19,8,169,447
95,27.759,48.712,7,25,287,570
96,12.079,-42.346,19,7,74,359
97,-51.27,41.144,23,24,147,403
98,-29.077,4.291,8,16,243,529
99,-18.555,-14.819,18,15,123,318
100,7.855,-49.451,7,7,105,403
101,-19.116,-32.086,1,17,220,423
102,17.651,-52.271,9,9,236,508
103,16.907,-62.964,5,14,89,417
104,18.988,6.219,23,20,244,557
105,-68.878,-64.539,18,6,160,436
106,-13.361,20.264,5,17,134,414
107,-44.44,63.721,17,23,220,458
108,-6.5,71.436,9,14,146,393
109,-51.978,25.409,19,19,222,535
110,-0.739,59.491,20,21,174,496
111,-64.679,83.038,1,6,259,484
112,-11.273,-35.944,18,1,211,456
113,-16.864,7.776,15,22,173,411
114,19.843,-49.805,10,7,60,370
115,-16.284,-2.936,8,14,64,348
116,8.356,67.041,14,7,244,489
117,30.878,24.316,15,25,223,405
118,93.524,-20.233,17,17,183,506
119,-9.332,-56.177,9,10,106,416
120,-34.442,-63.312,13,23,130,359
121,20.941,-5.646,18,22,128,343
122,-3.418,89.594,20,3,63,383
123,-18.738,45.227,8,14,140,405
124,2.435,-30.524,2,14,108,393
125,-28.864,56.616,7,2,62,302
126,76.88,-29.901,6,2,231,589
127,-90.466,10.278,12,21,116,447
128,-35.101,46.545,12,10,188,465
129,-48.395,43.854,25,10,142,366
130,-40.997,26.703,6,5,121,377
131,13.696,34.607,5,9,235,555
132,-71.472,11.45,20,15,125,342
133,-36.23,51.904,2,19,279,500
134,-39.465,4.907,25,7,144,458
135,-16.565,23.773,7,11,120,439
136,10.754,-28.552,6,2,214,463
137,-23.029,47.015,21,25,121,323
138,-8.807,21.216,19,14,234,447
139,-40.039,27.435,22,15,247,481
140,-37.445,-41.04,8,12,247,509
141,48.224,0.085,19,11,288,503
142,-0.323,68.237,6,17,179,403
143,-14.294,-33.423,24,4,103,315
144,-1.44,-34.814,15,24,247,433
145,-34.454,42.346,25,8,90,435
146,8.679,-66.18,6,20,275,518
147,-61.249,-51.367,21,12,273,589
148,-1.093,9.912,4,10,84,360
149,-16.565,66.547,10,12,145,437
150,8.435,52.838,16,9,150,390
151,-22.034,-36.896,12,16,297,484
152,15.765,17.322,13,23,148,437
153,9.003,-18.695,2,15,279,465
154,-4.584,3.491,3,10,82,406
155,8.875,40.662,10,21,220,512
156,26.093,-33.966,18,2,190,450
157,-32.501,39.526,18,16,159,456
158,-32.629,-82.581,11,15,241,492
159,-98.486,22.021,7,11,67,348
160,-59.052,4.163,18,11,170,526
161,7.428,-2.57,15,17,257,446
162,-59.601,12.469,5,3,268,609
163,-11.224,-31.83,20,9,135,325
164,-16.809,-35.04,9,1,238,583
165,21.863,18.14,22,13,262,447
166,45.038,-61.316,13,1,135,358
167,-48.816,25.568,24,2,165,354
168,-32.184,-16.736,4,22,87,389
169,12.439,-41.492,16,10,222,514
170,-21.082,-77.075,16,4,148,393
171,-17.822,-18.518,14,9,296,605
172,48.334,93.518,14,11,67,288
173,-18.677,49.005,25,3,98,280
174,12.14,30.042,23,19,64,419
175,3.113,-40.302,23,19,178,496
176,17.133,37.079,4,4,243,555
177,22.577,0.836,17,19,127,365
178,-30.426,52.942,12,15,232,440
179,33.765,-67.108,11,21,101,405
180,5.414,1.532,24,25,251,455
181,72.156,30.103,22,4,74,295
182,-24.109,-34.625,10,3,177,514
183,17.413,75.146,10,6,296,624
184,10.638,-60.052,10,6,207,489
185,-5.176,-48.999,5,21,255,532
186,-19.342,21.118,13,25,153,394
187,-46.802,-14.661,18,10,78,317
188,-16.779,43.439,25,25,271,576
189,14.093,-13.605,12,19,249,529
190,-21.063,26.019,18,19,154,380
191,39.813,-40.668,9,22,207,393
192,52.057,30.334,23,5,295,631
193,-0.14,7.266,0,0,0,1000
194,-23.138,48.45,0,0,0,1000
195,-26.102,16.809,0,0,0,1000
196,0.244,-35.892,0,0,0,1000
