MDVRPTW,number of vehicles,number of customers,maximum duration of a route,maximum load of a vehicle,number of depots,
111,-47.522,19.873,12,2,353,473
112,-48.431,-50.317,4,13,406,568
113,44.666,20.953,2,14,232,361
114,-19.226,32.77,9,19,121,235
115,-15.662,17.462,21,16,230,363
116,-91.669,77.722,17,23,335,455
117,-30.035,-78.284,22,13,133,309
118,73.663,32.941,24,24,386,558
119,22.4,-60.083,2,17,226,378
120,61.206,-13.501,25,8,154,269
121,22.131,-50.012,21,12,131,233
122,-6.317,56.665,11,6,70,216
123,-20.471,12.885,23,20,161,265
124,-61.084,-44.769,4,20,78,237
125,-9.576,-19.366,1,24,118,280
126,5.627,-88.501,15,10,372,470
127,-2.618,22.131,20,18,369,464
128,40.497,32.343,8,10,225,378
129,-3.296,36.774,4,15,132,248
130,-50.995,19.781,12,12,252,348
131,-70.52,-3.809,23,22,319,456
132,4.205,0.812,25,11,212,312
133,9.955,26.337,5,14,421,596
134,13.538,-21.313,15,9,217,387
135,-21.869,-18.768,2,6,123,299
136,-37.158,-30.768,22,23,395,570
137,-86.975,10.345,16,8,194,299
138,-47.272,-46.326,23,22,160,290
139,4.095,-19.354,13,7,309,456
140,4.205,30.292,7,15,102,207
141,-42.017,53.986,20,22,102,256
142,35.095,-10.895,25,7,99,234
143,61.188,-59.875,12,14,285,448
144,-34.674,-1.337,9,21,445,566
145,-3.799,44.29,0,0,0,1000
146,14.233,21.173,0,0,0,1000
147,-23.334,-28.397,0,0,0,1000
148,10.065,1.822,0,0,0,1000
149,-49.115,-43.549,0,0,0,1000
150,-21.054,4.144,0,0,0,1000
