PVRPTW,number of vehicles,number of customers,maximum duration of a route,maximum load of a vehicle,number of depots,number of days,,,,,,,,,,,,,
189,42.578,45.325,15,2,125,280,1,6,0,.,1,.,2,.,3,.,4,.,5
190,-16.73,-16.559,15,8,431,543,1,6,0,.,1,.,2,.,3,.,4,.,5
191,-14.697,-0.116,5,10,69,197,1,6,0,.,1,.,2,.,3,.,4,.,5
192,-19.769,8.392,9,19,112,204,1,6,0,.,1,.,2,.,3,.,4,.,5
193,-30.267,14.893,24,17,319,496,1,6,0,.,1,.,2,.,3,.,4,.,5
194,-63.116,-67.462,6,19,340,491,1,6,0,.,1,.,2,.,3,.,4,.,5
195,86.029,38.916,3,24,278,390,1,6,0,.,1,.,2,.,3,.,4,.,5
196,79.48,-24.866,24,24,451,593,1,6,0,.,1,.,2,.,3,.,4,.,5
197,35.144,14.734,22,6,454,559,1,6,0,.,1,.,2,.,3,.,4,.,5
198,-49.365,-9.052,2,2,266,364,1,6,0,.,1,.,2,.,3,.,4,.,5
199,-49.475,-17.578,21,7,466,640,1,6,0,.,1,.,2,.,3,.,4,.,5
200,57.501,16.327,17,10,233,372,1,6,0,.,1,.,2,.,3,.,4,.,5
201,54.889,12.024,13,13,139,295,1,6,0,.,1,.,2,.,3,.,4,.,5
202,-53.027,-33.179,21,20,351,487,1,6,0,.,1,.,2,.,3,.,4,.,5
203,-0.415,16.644,3,1,242,400,1,6,0,.,1,.,2,.,3,.,4,.,5
204,21.594,16.144,9,17,199,316,1,6,0,.,1,.,2,.,3,.,4,.,5
205,-46.924,-49.261,14,17,98,199,1,6,0,.,1,.,2,.,3,.,4,.,5
206,18.457,19.733,9,16,136,307,1,6,0,.,1,.,2,.,3,.,4,.,5
207,35.822,19.763,3,9,376,517,1,6,0,.,1,.,2,.,3,.,4,.,5
208,71.869,29.034,22,25,114,290,1,6,0,.,1,.,2,.,3,.,4,.,5
209,-56.378,-42.755,13,1,311,440,1,6,0,.,1,.,2,.,3,.,4,.,5
210,-25.8,25.159,10,23,368,467,1,6,0,.,1,.,2,.,3,.,4,.,5
211,-5.676,33.85,7,10,184,355,1,6,0,.,1,.,2,.,3,.,4,.,5
212,54.041,-5.292,3,15,436,557,1,6,0,.,1,.,2,.,3,.,4,.,5
213,-63.074,27.38,11,25,412,585,1,6,0,.,1,.,2,.,3,.,4,.,5
214,-16.864,-49.768,17,25,338,488,1,6,0,.,1,.,2,.,3,.,4,.,5
215,47.919,13.629,15,16,99,265,1,6,0,.,1,.,2,.,3,.,4,.,5
216,-10.724,-2.075,4,1,372,525,1,6,0,.,1,.,2,.,3,.,4,.,5
217,3.871,-2.597,0,0,0,1000,0,0,0,,,,,,,,,,
