MDVRPTW,number of vehicles,number of customers,maximum duration of a route,maximum load of a vehicle,number of depots,
125,17.664,-25.604,17,18,182,457
126,-39.624,54.883,2,18,202,472
127,-24.554,-43.225,5,1,275,523
128,-26.892,-12.738,14,7,288,473
129,34.155,-38.458,1,22,262,480
130,-47.314,-29.468,13,7,272,468
131,49.365,-25.592,8,3,274,481
132,3.705,-16.449,24,18,68,362
133,22.43,-23.273,12,8,260,597
134,-37.549,-29.608,23,6,211,465
135,25.549,3.674,1,7,157,458
136,-15.216,3.284,2,20,137,444
137,-12.939,-7.495,8,10,158,436
138,-22.107,26.434,18,2,166,407
139,-17.944,7.733,14,3,106,465
140,-21.234,14.49,23,10,170,371
141,3.503,-19.708,14,5,298,572
142,32.599,-14.935,4,25,254,559
143,-5.737,-28.296,24,23,75,351
144,-6.128,-39.624,9,21,257,463
145,-2.46,12.817,15,13,84,381
146,-6.47,8.466,10,1,64,250
147,-37.891,-36.115,3,11,279,468
148,10.852,-18.75,12,6,154,415
149,50.104,8.636,6,9,253,611
150,46.844,4.712,1,17,60,374
151,19.598,-10.406,24,13,214,572
152,-38.947,52.942,3,23,183,429
153,-0.641,-21.289,4,19,78,417
154,40.906,-33.765,7,11,294,582
155,-0.574,-62.299,21,12,277,500
156,-9.778,26.794,1,18,178,470
157,34.265,-23.895,24,25,299,541
158,29.572,-24.561,5,13,69,360
159,16.376,-58.887,23,24,250,469
160,61.877,-15.167,5,5,90,343
161,40.088,-9.625,17,14,263,600
162,0.122,-4.645,24,18,198,438
163,-8.929,-43.903,23,25,141,384
164,-7.135,-57.434,3,11,69,397
165,7.55,-21.21,5,18,78,367
166,3.949,7.3,22,23,199,457
167,-15.118,92.023,9,22,281,629
168,84.821,-24.518,23,20,287,594
169,-52.325,30.682,15,11,91,429
170,7.538,13.818,15,11,260,577
171,-21.484,30.359,11,19,194,441
172,36.047,29.883,20,13,248,578
173,12.781,-40.942,10,24,106,306
174,-17.291,-10.254,24,6,295,606
175,-10.541,12.402,10,5,70,388
176,-15.845,-59.46,6,24,222,487
177,29.266,-2.222,22,7,239,446
178,-12.598,-58.929,25,13,161,347
179,-17.303,-35.297,11,25,294,639
180,57.05,-50.354,6,15,261,509
181,26.941,17.444,9,15,70,411
182,-6.195,-8.881,6,16,101,434
183,16.98,-16.321,12,5,222,518
184,83.71,-32.52,4,15,133,325
185,12.451,34.589,24,24,172,414
186,15.057,67.004,18,15,181,413
187,25.818,-5.835,3,9,286,566
188,13.666,-14.832,18,19,192,468
189,48.322,-5.164,17,15,232,420
190,13.489,19.739,23,2,189,427
191,-18.512,65.405,10,3,232,437
192,17.554,38.379,22,18,60,303
193,37.775,-16.003,5,20,281,614
194,47.968,-30.31,16,14,215,400
195,38.806,36.243,10,10,207,427
196,-16.089,-42.841,10,6,150,344
197,28.656,-1.99,9,17,201,400
198,-5.859,-1.862,5,20,250,470
199,60.516,63.416,9,3,134,470
200,63.196,-47.766,12,14,293,493
201,-15.308,-23.285,16,12,168,383
202,-2.875,0.787,8,2,223,492
203,32.056,-10.175,1,11,260,542
204,-18.634,-25.665,1,16,240,577
205,-3.632,25.433,18,18,103,363
206,10.48,22.888,22,14,262,542
207,1.819,-3.009,20,6,231,566
208,-25.275,-12.183,4,12,144,394
209,56.927,-75.507,15,21,296,551
210,13.885,-36.23,7,1,195,383
211,32.52,-29.523,25,18,60,300
212,4.803,-7.288,3,17,290,513
213,11.365,-8.344,22,15,72,361
214,17.126,-24.646,5,4,224,517
215,-33.661,-41.241,1,18,105,453
216,-32.391,-50.885,9,22,74,411
217,23.041,-14.496,16,16,280,538
218,-21.857,-39.502,23,14,127,403
219,32.013,77.332,5,25,291,606
220,13.831,-76.19,5,15,68,307
221,-8.051,-21.179,6,6,217,525
222,25.391,46.613,16,7,119,376
223,49.536,-54.639,25,21,269,461
224,63.416,-8.636,1,3,226,456
225,2.301,-5.536,25,15,298,552
226,52.423,29.895,17,24,227,528
227,9.296,-16.254,11,2,266,607
228,34.845,-96.185,24,17,206,476
229,-21.063,-41.498,10,2,117,447
230,28.448,10.242,12,25,132,489
231,16.254,-22.583,17,15,216,536
232,-36.639,-34.033,18,3,154,461
233,-27.356,-50.177,5,1,99,307
234,-53.705,11.334,16,1,166,420
235,26.276,-5.994,9,20,68,259
236,-31.519,34.589,6,19,251,560
237,-14.612,-31.506,1,2,225,467
238,-4.242,-30.865,4,9,134,451
239,-18.524,-29.486,20,4,66,334
240,-17.133,-19.397,19,16,232,421
241,34.43,-17.151,0,0,0,1000
242,0.269,-8.154,0,0,0,1000
243,3.14,13.297,0,0,0,1000
244,-3.113,-29.745,0,0,0,1000
